"","mu","sigma","prejudice","own","out","step"
"33",0.3,0.05,0.1,0.400078343884965,0.200005448816655,0
"34",0.3,0.05,0.2,0.500128121547211,0.100525487279686,0
"35",0.3,0.05,0.4,0.699950249301026,0.000977646303043503,0
"36",0.3,0.1,0,0.30010017323754,0.299623198768756,0
"37",0.3,0.1,0.05,0.349870652587033,0.250195241659309,0
"38",0.3,0.1,0.1,0.399655696986307,0.20086372399664,0
"39",0.3,0.1,0.2,0.499646531060345,0.108300310145083,0
"40",0.3,0.1,0.4,0.699945252114527,0.00874361116140903,0
"41",0.3,0.2,0,0.305804050710053,0.306530448131336,0
"42",0.3,0.2,0.05,0.353957059460945,0.260699414300723,0
"43",0.3,0.2,0.1,0.402292536100533,0.216986502569076,0
"44",0.3,0.2,0.2,0.500354083280236,0.13962352088841,0
"45",0.3,0.2,0.4,0.694190781355625,0.0396603174969297,0
"46",0.3,0.4,0,0.346600318138224,0.345424976600814,0
"47",0.3,0.4,0.05,0.381101144548264,0.309839291641186,0
"48",0.3,0.4,0.1,0.423852010620781,0.276618261580975,0
"49",0.3,0.4,0.2,0.501214310054657,0.211431164926305,0
"50",0.3,0.4,0.4,0.654178166074546,0.113847775850677,0
"51",0.5,0.01,0,0.499992382288838,0.499980514960739,0
"52",0.5,0.01,0.05,0.550000431024821,0.449979032560158,0
"53",0.5,0.01,0.1,0.599979150107236,0.399989028022014,0
"54",0.5,0.01,0.2,0.699956299033343,0.299961316170615,0
"55",0.5,0.01,0.4,0.899975391136358,0.0999627002043329,0
"56",0.5,0.05,0,0.500172333800254,0.500124119425647,0
"57",0.5,0.05,0.05,0.549969905131333,0.449841030718484,0
"58",0.5,0.05,0.1,0.600069934559097,0.399975652055446,0
"59",0.5,0.05,0.2,0.700043301158935,0.299965251371539,0
"60",0.5,0.05,0.4,0.899262444627039,0.100268074925215,0
"61",0.5,0.1,0,0.499501722667967,0.500148377331395,0
"62",0.5,0.1,0.05,0.54961823412863,0.449640896030558,0
"63",0.5,0.1,0.1,0.600209668839672,0.399497439842598,0
"64",0.5,0.1,0.2,0.700119754346303,0.299945419777252,0
"65",0.5,0.1,0.4,0.891910145169448,0.108681966350991,0
"66",0.5,0.2,0,0.500066004563562,0.500457224476475,0
"67",0.5,0.2,0.05,0.549186416051654,0.450898939015129,0
"68",0.5,0.2,0.1,0.597935874424464,0.402220358497561,0
"69",0.5,0.2,0.2,0.692780666628394,0.306819328512565,0
"70",0.5,0.2,0.4,0.860214352933459,0.139802832549073,0
"71",0.5,0.4,0,0.498374304333009,0.500568476995197,0
"72",0.5,0.4,0.05,0.54072059814571,0.461126161278106,0
"73",0.5,0.4,0.1,0.577929806841479,0.42214495334323,0
"74",0.5,0.4,0.2,0.65407731988133,0.346851442426755,0
"75",0.5,0.4,0.4,0.787114223642488,0.21422654363842,0
"76",0.7,0.01,0,0.699976975039723,0.700079075261464,0
"77",0.7,0.01,0.05,0.749961485823366,0.650045767987288,0
"78",0.7,0.01,0.1,0.79997608591634,0.599981538291792,0
"79",0.7,0.01,0.2,0.899975868492276,0.50000854647184,0
"80",0.7,0.01,0.4,0.99944129533103,0.299995972616514,0
"81",0.7,0.05,0,0.70004980462988,0.700021395176015,0
"82",0.7,0.05,0.05,0.75003168039407,0.650258696436013,0
"83",0.7,0.05,0.1,0.799782579747328,0.59988470639003,0
"84",0.7,0.05,0.2,0.899645164397053,0.500011091872875,0
"85",0.7,0.05,0.4,0.999041059531551,0.2998537491684,0
"86",0.7,0.1,0,0.699161090403499,0.699427935260293,0
"87",0.7,0.1,0.05,0.750346558188344,0.650330575763914,0
"88",0.7,0.1,0.1,0.79957857565879,0.600613266845715,0
"89",0.7,0.1,0.2,0.891676784913936,0.500387553606442,0
"90",0.7,0.1,0.4,0.991263216100287,0.300024967278482,0
"91",0.7,0.2,0,0.692437205029652,0.693818360676933,0
"92",0.7,0.2,0.05,0.740058717279714,0.646872443314621,0
"93",0.7,0.2,0.1,0.783068543854691,0.59706141989441,0
"94",0.7,0.2,0.2,0.860346938232251,0.499962379285021,0
"95",0.7,0.2,0.4,0.960017127146524,0.307484532077228,0
"96",0.7,0.4,0,0.654184600970099,0.655136909233011,0
"97",0.7,0.4,0.05,0.689808795819434,0.617137267243994,0
"98",0.7,0.4,0.1,0.723771726709267,0.577088955009373,0
"99",0.7,0.4,0.2,0.787617282716647,0.498570910670927,0
"100",0.7,0.4,0.4,0.885925878520785,0.345201884847798,0
"101",0.9,0.01,0,0.90001382443978,0.900016519552035,0
"102",0.9,0.01,0.05,0.949958716227871,0.850048665094828,0
"103",0.9,0.01,0.1,0.995722175899584,0.800026700658296,0
"104",0.9,0.01,0.2,0.99944129533103,0.700000364929929,0
"105",0.9,0.01,0.4,0.99944129533103,0.500004452489809,0
"106",0.9,0.05,0,0.89968589554828,0.899884593579162,0
"107",0.9,0.05,0.05,0.945670512564947,0.850042785777988,0
"108",0.9,0.05,0.1,0.979817476270897,0.799974799306769,0
"109",0.9,0.05,0.2,0.999042699863394,0.700081321395322,0
"110",0.9,0.05,0.4,0.99944129533103,0.49989063748217,0
"111",0.9,0.1,0,0.891796764625809,0.891391755801383,0
"112",0.9,0.1,0.05,0.930098416697805,0.846803693645904,0
"113",0.9,0.1,0.1,0.959659781140972,0.799295129168236,0
"114",0.9,0.1,0.2,0.991191973444575,0.699826919162811,0
"115",0.9,0.1,0.4,0.999402188110143,0.499885548536575,0
"116",0.9,0.2,0,0.86061497731016,0.860481144454285,0
"117",0.9,0.2,0.05,0.892288431601906,0.822794561600073,0
"118",0.9,0.2,0.1,0.920806768613505,0.783544377886489,0
"119",0.9,0.2,0.2,0.960029824283983,0.694573781996382,0
"120",0.9,0.2,0.4,0.993700820373165,0.498754816210554,0
"121",0.9,0.4,0,0.787939942302517,0.78744960516646,0
"122",0.9,0.4,0.05,0.815463585079497,0.754899672992004,0
"123",0.9,0.4,0.1,0.84060060546419,0.725277581627643,0
"124",0.9,0.4,0.2,0.885171351517086,0.654363845366189,0
"125",0.9,0.4,0.4,0.947587391042892,0.5002318698549,0
"126",0.1,0.01,0,0.000352229417994306,0.000352079595570504,10000
"127",0.1,0.01,0.05,0.00065144610289221,0.000147189349937189,10000
"128",0.1,0.01,0.1,0.00111195842846941,1.09718587789102e-05,10000
"129",0.1,0.01,0.2,0.00326352186022306,1.40123294682683e-06,10000
"130",0.1,0.01,0.4,0.499525659266022,1.40198665801097e-06,10000
"131",0.1,0.05,0,0.000366809684717897,0.000366328772243498,10000
"132",0.1,0.05,0.05,0.000670733998532726,0.000169178003452643,10000
"133",0.1,0.05,0.1,0.00113830267223306,5.63911258060847e-05,10000
"134",0.1,0.05,0.2,0.00333023915536375,2.49608499443442e-06,10000
"135",0.1,0.05,0.4,0.502208288272372,1.40151107873846e-06,10000
"136",0.1,0.1,0,0.000438626923165813,0.000438235353394552,10000
