"","mu","sigma","prejudice","own","out","third","step"
"146",0.5,0.4,0.1,0.809965621897099,-0.952358194737131,NA,10000
"147",0.5,0.4,0.2,0.586977081471608,-0.585497136888851,NA,0
"148",0.5,0.4,0.2,1.81287468147151,-1.78739313688876,NA,10000
"149",0.5,0.4,0.4,1.16481635542429,-1.13268101280913,NA,0
"150",0.5,0.4,0.4,2.84950035542413,-2.81752741280896,NA,10000
"151",0.55,0.01,0,0.0662928373541978,0.067277066087875,NA,0
"152",0.55,0.01,0,0.960492037354157,0.971947466087833,NA,10000
"153",0.55,0.01,0.05,0.135178318954338,-0.000159397233356657,NA,0
"154",0.55,0.01,0.05,1.41003911895425,-0.0105673972333566,NA,10000
"155",0.55,0.01,0.1,0.206582934453359,-0.0673073011360052,NA,0
"156",0.55,0.01,0.1,1.69350693445324,-0.964416901135964,NA,10000
"157",0.55,0.01,0.2,0.367039361412827,-0.20728603691889,NA,0
"158",0.55,0.01,0.2,2.09750656141266,-1.69607643691877,NA,10000
"159",0.55,0.01,0.4,0.989688517351322,-0.579489245610012,NA,0
"160",0.55,0.01,0.4,2.95224131735111,-2.45066524560981,NA,10000
"161",0.55,0.05,0,0.0704749494806319,0.0635875307091063,NA,0
"162",0.55,0.05,0,0.982755749480589,0.92227233070907,NA,10000
"163",0.55,0.05,0.05,0.134805097068037,-9.87066936569096e-05,NA,0
"164",0.55,0.05,0.05,1.40021789706795,0.00434609330634308,NA,10000
"165",0.55,0.05,0.1,0.210021350704658,-0.0672889819962962,NA,0
"166",0.55,0.05,0.1,1.69444935070453,-0.953336181996256,NA,10000
"167",0.55,0.05,0.2,0.372677565577378,-0.208126936240746,NA,0
"168",0.55,0.05,0.2,2.10223276557721,-1.68924293624062,NA,10000
"169",0.55,0.05,0.4,1.2330837109568,-0.602476737046543,NA,0
"170",0.55,0.05,0.4,3.19423891095659,-2.47098633704634,NA,10000
"171",0.55,0.1,0,0.0732188259966622,0.0629656025163432,NA,0
"172",0.55,0.1,0,0.965112425996621,0.868260002516312,NA,10000
