"","TL","TGS","prejudice","own","out","step"
"74",0.7,0.8,0.2,0.699756898378477,0.299667970356467,0
"75",0.7,0.8,0.4,0.89189764270347,0.108672462144355,0
"76",0.8,0.2,0,0.50031389166113,0.500017926685225,0
"77",0.8,0.2,0.05,0.550086081239818,0.449993535720804,0
"78",0.8,0.2,0.1,0.60000999977887,0.40008493098089,0
"79",0.8,0.2,0.2,0.70046672114578,0.299679657731739,0
"80",0.8,0.2,0.4,0.891683301666721,0.108046129771414,0
"81",0.8,0.35,0,0.499404693292759,0.500285472076012,0
"82",0.8,0.35,0.05,0.549826314944281,0.449369983965361,0
"83",0.8,0.35,0.1,0.600504890804417,0.400151719248406,0
"84",0.8,0.35,0.2,0.699610294248756,0.300186783400519,0
"85",0.8,0.35,0.4,0.891693440879514,0.108354029005851,0
"86",0.8,0.5,0,0.500306558366746,0.500052699605243,0
"87",0.8,0.5,0.05,0.549834957596006,0.448859310033639,0
"88",0.8,0.5,0.1,0.599640604796743,0.399745274249276,0
"89",0.8,0.5,0.2,0.700153331566408,0.299930485665153,0
"90",0.8,0.5,0.4,0.892423757872815,0.108595803323855,0
"91",0.8,0.65,0,0.500683997882253,0.500091342340071,0
"92",0.8,0.65,0.05,0.549620932883803,0.449974172368994,0
"93",0.8,0.65,0.1,0.60017930492144,0.39943675249562,0
"94",0.8,0.65,0.2,0.69987630870204,0.299917313427021,0
"95",0.8,0.65,0.4,0.89138450634132,0.10829384693832,0
"96",0.8,0.8,0,0.500121230443285,0.500095625753414,0
"97",0.8,0.8,0.05,0.549884600527575,0.450344678531995,0
"98",0.8,0.8,0.1,0.600290422605258,0.400168560560304,0
"99",0.8,0.8,0.2,0.699292342353138,0.300103292931916,0
"100",0.8,0.8,0.4,0.891747129536015,0.108447169858875,0
"101",0.9,0.2,0,0.50032914226258,0.500850721853265,0
"102",0.9,0.2,0.05,0.550613123216235,0.450179414731992,0
"103",0.9,0.2,0.1,0.600280088687053,0.400400649778286,0
"104",0.9,0.2,0.2,0.7001874394622,0.299825114421698,0
"105",0.9,0.2,0.4,0.891419002640115,0.108197252713101,0
"106",0.9,0.35,0,0.50036409709054,0.499447588547931,0
"107",0.9,0.35,0.05,0.550283858429439,0.450288912934978,0
"108",0.9,0.35,0.1,0.599455122435308,0.399920671197093,0
"109",0.9,0.35,0.2,0.700478020871699,0.299804073084388,0
"110",0.9,0.35,0.4,0.891944674801608,0.108704586444893,0
"111",0.9,0.5,0,0.500759216032448,0.500200101400392,0
"112",0.9,0.5,0.05,0.550079099135001,0.449932062595142,0
"113",0.9,0.5,0.1,0.600061012931402,0.39976434081507,0
"114",0.9,0.5,0.2,0.699827045618494,0.299512376822749,0
"115",0.9,0.5,0.4,0.891307613331975,0.108839617987158,0
"116",0.9,0.65,0,0.499727208540031,0.499905979644926,0
"117",0.9,0.65,0.05,0.549333308564265,0.449960571136009,0
"118",0.9,0.65,0.1,0.600632489579111,0.400374850648849,0
"119",0.9,0.65,0.2,0.699927155557588,0.299574589938294,0
"120",0.9,0.65,0.4,0.892125144076525,0.108277745081176,0
"121",0.9,0.8,0,0.499908773546405,0.49981281640463,0
"122",0.9,0.8,0.05,0.549886909877609,0.450011921214303,0
