"","sim","TL","TGS","prejudice","startOwnMu","startOwnSD","startOutMu","startOutSD","startThirdMu","startThirdSD","endOwnMu","endOwnSD","endOutMu","endtOutSD","endThirdMu","endThirdSD"
"263",83,0.5,0.5,0.1,0.599441383155722,0.0973254439852906,0.403793919730838,0.103136810089174,0.510982851109093,0.140872528254226,0.956934286889365,0.0249972753262772,0.146585715885897,0.111829827996632,0.722856858989331,0.208386995119976
"264",83,0.5,0.5,0.2,0.693434395755929,0.0976685310152546,0.299362609771778,0.09775335341125,0.503774997670843,0.223442362790714,0.988782147860986,0.00850923931045395,0.0329275250740224,0.0324156925823832,0.646869749897662,0.318917377447668
"265",83,0.5,0.5,0.4,0.891959213923789,0.0855468364361441,0.114973421130678,0.0890698483801587,0.502631348981969,0.401409031098098,0.998725380252681,0.00156437098700977,0.00616805386571523,0.00886205536126425,0.558720813511193,0.444657487501147
"266",83,0.5,0.65,0,0.500221742014937,0.1001433234643,0.499436129504378,0.100419319491601,0.502068049481315,0.0995058182431133,0.511032822664324,0.101933591847432,0.507568987661442,0.102251978841507,0.512114696915792,0.102247227117907
"267",83,0.5,0.65,0.05,0.551797199484747,0.0958748001957469,0.452810609379953,0.09965719158926,0.522711765927777,0.111759217988279,0.912204435041128,0.0343396474719533,0.50702721366824,0.17642368705178,0.875699957034961,0.100266643073678
"268",83,0.5,0.65,0.1,0.602860352474109,0.0980414695232192,0.400228755772257,0.100202014855332,0.528200649073483,0.134897946011374,0.966128706318292,0.0163887467845819,0.25744761607936,0.167526881742319,0.838093340100225,0.159400459784402
"269",83,0.5,0.65,0.2,0.696338842727765,0.103111002503316,0.298648142478648,0.0950449961620587,0.549789606750784,0.221393076880409,0.991576110306505,0.00543667565900408,0.136073724225024,0.112553210133787,0.793670910513119,0.271220984122301
"270",83,0.5,0.65,0.4,0.893526514408643,0.0869366493305547,0.112066280919043,0.0853397141235123,0.620349840670086,0.381708780239874,0.999066297947487,0.000989284555971867,0.0356557812833002,0.0440297215261944,0.702682638239466,0.413088834421987
"271",83,0.5,0.8,0,0.500002857015072,0.100519738436325,0.499571803183362,0.103068852366462,0.507480253898399,0.0973145689935601,0.582291697172315,0.100842322563216,0.577168203251338,0.103322379668875,0.639845355698105,0.0942831865691961
"272",83,0.5,0.8,0.05,0.552068547043347,0.103939929364517,0.44260110594677,0.101055259853177,0.533298156107336,0.106325077736908,0.92808143865779,0.0309548565328291,0.617358302098927,0.168372983638798,0.939256271970416,0.0618700176462462
"273",83,0.5,0.8,0.1,0.598946897776311,0.0977905490122331,0.395469731233933,0.100061460294398,0.56604955668474,0.128873131431437,0.979541901570224,0.00894522615978928,0.681191425967714,0.217014559664892,0.979250381661579,0.0386194001872696
"274",83,0.5,0.8,0.2,0.700839157083035,0.0978520457151344,0.297976611584327,0.100046090329271,0.613329345941417,0.198161771924447,0.99474210207477,0.00270537419664437,0.510838792718524,0.2689446526823,0.955564021041821,0.0947072768567621
"275",83,0.5,0.8,0.4,0.893227182308164,0.0892727511100659,0.11578270376957,0.0882856065467124,0.729461184562825,0.32886641185245,0.999283590035767,0.000706292677139952,0.213500689178134,0.189884533389351,0.843024962863525,0.321122854600102
"276",83,0.6,0.2,0,0.497664016453903,0.10090190192761,0.497613779832358,0.102073824778799,0.598900075161051,0.104849166470227,0.625302449235366,0.112815082170678,0.626353754142998,0.110461474380176,0.706044351273707,0.0942073883451159
"277",83,0.6,0.2,0.05,0.553468143276823,0.0979357815714156,0.449523963962163,0.0955391990940166,0.572002132450644,0.100265867159132,0.932051489487615,0.033640327231194,0.141046572888295,0.0996244949961625,0.645587092953405,0.105816302138806
"278",83,0.6,0.2,0.1,0.600179993215996,0.0969907129461994,0.404101360481188,0.0975810961746309,0.541956314793968,0.129086171263748,0.974144923204335,0.0175658128326168,0.042818828034304,0.0413748426877563,0.588406084866776,0.153664093018924
"279",83,0.6,0.2,0.2,0.70405884184223,0.102054267626467,0.303509745586431,0.0983438325144966,0.488182676382826,0.190931167966141,0.993493923955084,0.00637058904167648,0.00888783291512698,0.0103025100770113,0.519571923750898,0.227802090206998
"280",83,0.6,0.2,0.4,0.893641526992231,0.0856762176272542,0.110836073087835,0.0851293545925561,0.351462991242351,0.314018318646541,0.999276769642109,0.00105347247689456,0.000820328523670697,0.00115612393611938,0.35737792554883,0.324686774190223
"281",83,0.6,0.35,0,0.495076008961861,0.10172936567759,0.501127961436301,0.0975611321093142,0.600940660504517,0.0960051715963867,0.700728765781839,0.10693224531388,0.753274065894632,0.085574334373993,0.800338815906806,0.0695233857639039
"282",83,0.6,0.35,0.05,0.550257030226499,0.098024135865706,0.447260494806335,0.0997435920830432,0.583650648351096,0.111015477270759,0.933244607973668,0.0282575080040251,0.266511727938043,0.17395645647299,0.769151361490174,0.114553678667521
"283",83,0.6,0.35,0.1,0.602498820063112,0.0991106140340861,0.399040804262175,0.10062736415557,0.566547301639796,0.13454290144964,0.97518748237261,0.0141251406036401,0.102140957167584,0.102715125198374,0.724720505110186,0.162586237163951
"284",83,0.6,0.35,0.2,0.696279074830737,0.0994712453076743,0.299770647800558,0.10021031284006,0.537980535121347,0.216390264143409,0.992618507121186,0.00561435679471162,0.021785573500254,0.0270950887331721,0.619213344444103,0.266122703111097
"285",83,0.6,0.35,0.4,0.891252436307121,0.0851585761644405,0.108634983836911,0.0857281168771358,0.483074355205959,0.371941949071451,0.999246242908121,0.000829405261069827,0.00388996350850025,0.00701589803391057,0.503733609677636,0.385069431637569
"286",83,0.6,0.5,0,0.503046014385347,0.103472248968185,0.502098961936099,0.105142339920249,0.598198372496169,0.0968179673970151,0.857237284577049,0.0666728397930218,0.854521974428058,0.0679092657290297,0.930153928752682,0.0360173175864116
"287",83,0.6,0.5,0.05,0.550048016524209,0.0997694015270048,0.445856052915272,0.0982659614524025,0.601185145980778,0.114140524303549,0.950506399212497,0.0205851962214861,0.516996438963991,0.224609031332646,0.911059538826803,0.0683793383326433
"288",83,0.6,0.5,0.1,0.60010049514779,0.0977689150657254,0.39687863399499,0.100011084007919,0.607479424186333,0.144967332107271,0.980492861158104,0.00872171959894528,0.333943898398646,0.249854933972938,0.901588827208231,0.0975207076568292
"289",83,0.6,0.5,0.2,0.699496499107117,0.0993109030793211,0.297508012893187,0.098439376868304,0.591542026269187,0.224665575101781,0.993836804306874,0.00381869945232238,0.0881049060173991,0.0950209503767541,0.762961308907125,0.234774949562515
"290",83,0.6,0.5,0.4,0.895147867084948,0.0860947361097445,0.108562367635802,0.0873309646400921,0.583110106081583,0.38634907320362,0.999321342954115,0.000728353383141567,0.0234909088329152,0.0369599848566607,0.624035169629985,0.38460716620766
